ticker,fiscal_year,period_type,statement_type,metric_id,value,unit,document_title,page_number,table_name,extracted_text,extraction_method,verified_by,verified_at
DHG,2024,FY,income_statement,revenue.net,5200.0,vnd_bn,DHG FY2024 Annual Report / Audited Financial Statements,47,,Doanh thu thuần,pdf_table,,
DHG,2023,FY,income_statement,revenue.net,4885.0,vnd_bn,DHG FY2024 Annual Report / Audited Financial Statements,47,,Doanh thu thuần,pdf_table,,
DHG,2024,FY,income_statement,profit_before_tax.total,1080.0,vnd_bn,DHG FY2024 Annual Report / Audited Financial Statements,47,,Lợi nhuận trước thuế,pdf_table,,
DHG,2023,FY,income_statement,profit_before_tax.total,904.0,vnd_bn,DHG FY2024 Annual Report / Audited Financial Statements,47,,Lợi nhuận trước thuế,pdf_table,,
DHG,2023,FY,income_statement,net_income.total,779.0,vnd_bn,DHG FY2024 Annual Report / Audited Financial Statements,47,,Lợi nhuận sau thuế,pdf_table,,
