ticker,fiscal_year,period_type,statement_type,metric_id,value,unit,document_title,page_number,table_name,extracted_text,extraction_method,verified_by,verified_at
DHG,2025,FY,income_statement,revenue.net,5210.0,vnd_bn,DHG FY2025 Annual Report / Audited Financial Statements,38,,Doanh thu thuần,pdf_table,,
DHG,2024,FY,income_statement,revenue.net,5267.0,vnd_bn,DHG FY2025 Annual Report / Audited Financial Statements,38,,Doanh thu thuần,pdf_table,,
DHG,2025,FY,income_statement,profit_before_tax.total,940.0,vnd_bn,DHG FY2025 Annual Report / Audited Financial Statements,38,,Lợi nhuận trước thuế,pdf_table,,
DHG,2024,FY,income_statement,profit_before_tax.total,987.0,vnd_bn,DHG FY2025 Annual Report / Audited Financial Statements,38,,Lợi nhuận trước thuế,pdf_table,,
DHG,2024,FY,income_statement,net_income.total,852.0,vnd_bn,DHG FY2025 Annual Report / Audited Financial Statements,38,,Lợi nhuận sau thuế,pdf_table,,
DHG,2023,FY,income_statement,revenue.net,4003.0,vnd_bn,DHG FY2025 Annual Report / Audited Financial Statements,42,,Doanh thu thuần,pdf_table,,
DHG,2023,FY,income_statement,net_income.total,777.0,vnd_bn,DHG FY2025 Annual Report / Audited Financial Statements,42,,Lợi nhuận sau thuế,pdf_table,,
DHG,2023,FY,income_statement,interest_expense.total,12.0,vnd_bn,DHG FY2025 Annual Report / Audited Financial Statements,44,,Chi phí lãi vay,pdf_table,,
